-7.6	0.05
-7.5	0.05
-7.4	0.04
-7.3	0.05
-7.2	0.06
-7.1	0.06
-7	0.07
-6.9	0.07
-6.8	0.07
-6.7	0.05
-6.6	0.04
-6.5	0.04
-6.4	0.06
-6.3	0.12
-6.2	0.19
-6.1	0.29
-6	0.45
-5.9	0.66
-5.8	0.85
-5.7	0.99
-5.6	1.05
-5.5	1
-5.4	0.88
-5.3	0.68
-5.2	0.5
-5.1	0.35
-5	0.25
-4.9	0.19
-4.8	0.19
-4.7	0.25
-4.6	0.36
-4.5	0.47
-4.4	0.55
-4.3	0.58
-4.2	0.56
-4.1	0.52
-4	0.44
-3.9	0.38
-3.8	0.32
-3.7	0.29
-3.6	0.28
-3.5	0.3
-3.4	0.36
-3.3	0.43
-3.2	0.6
-3.1	0.79
-3	1.06
-2.9	1.33
-2.8	1.51
-2.7	1.6
-2.6	1.55
-2.5	1.36
-2.4	1.13
-2.3	1
-2.2	1.23
-2.1	1.66
-2	2.73
-1.9	4.44
-1.8	6.66
-1.7	9.21
-1.6	11.73
-1.5	13.61
-1.4	14.3
-1.3	13.92
-1.2	11.85
-1.1	10.7
-1	8.96
-0.9	6.31
-0.8	4.52
-0.7	4.02
-0.6	5.36
-0.5	8.48
-0.4	12.3
-0.3	17.12
-0.2	22.53
-0.1	24.67
0	26.12
0	25.76
0.1	22.92
0.2	19.36
0.3	14.82
0.4	10.11
0.5	6.8
0.6	4.82
0.7	3.7
0.8	4.2
0.9	5.48
1	7.2
1.1	9.76
1.2	11.57
1.3	12.25
1.4	11.78
1.5	10.91
1.6	9.83
1.7	7.75
1.8	5.48
1.9	3.98
2	3.01
2.1	1.9
2.2	1.53
2.3	1.48
2.4	1.54
2.5	1.6
2.6	1.62
2.7	1.52
2.8	1.32
2.9	1.18
3	1.02
3.1	0.8
3.2	0.7
3.3	0.68
3.4	0.73
3.5	0.81
3.6	0.91
3.7	1.03
3.8	1.09
3.9	1.12
4	1.1
4.1	0.95
4.2	0.72
4.3	0.5
4.4	0.31
4.5	0.23
4.6	0.16
4.7	0.15
4.8	0.24
4.9	0.36
5	0.45
5.1	0.62
5.2	0.74
5.3	0.77
5.4	0.74
5.5	0.66
5.6	0.58
5.7	0.39
5.8	0.25
5.9	0.17
6	0.13
6.1	0.08
6.2	0.06
6.3	0.06
6.4	0.07
6.5	0.08
6.6	0.08
6.7	0.06
6.8	0.06
6.9	0.05
7	0.05
7.1	0.04
7.2	0.03
7.3	0.03
7.4	0.03
7.5	0.05
